error_type,Google Gemini 1.5 Pro,Google MedGemma-4B-IT,Heuristic Baseline,OpenAI GPT-4
age_inappropriate,0.0% (0/9),11.1% (1/9),0.0% (0/9),0.0% (0/9)
age_inappropriate_procedure,0.0% (0/2),100.0% (2/2),0.0% (0/2),100.0% (2/2)
age_inappropriate_screening,0.0% (0/6),100.0% (6/6),0.0% (0/6),100.0% (6/6)
anatomical_contradiction,0.0% (0/2),0.0% (0/2),0.0% (0/2),0.0% (0/2)
care_setting_inconsistency,0.0% (0/4),50.0% (2/4),0.0% (0/4),0.0% (0/4)
diagnosis_procedure_mismatch,0.0% (0/5),20.0% (1/5),0.0% (0/5),0.0% (0/5)
duplicate_charge,0.0% (0/3),100.0% (3/3),0.0% (0/3),100.0% (3/3)
gender_mismatch,0.0% (0/20),60.0% (12/20),0.0% (0/20),35.0% (7/20)
medical_necessity,0.0% (0/2),100.0% (2/2),0.0% (0/2),50.0% (1/2)
procedure_inconsistent_with_health_history,0.0% (0/24),16.7% (4/24),0.0% (0/24),0.0% (0/24)
surgical_history_contradiction,0.0% (0/4),50.0% (2/4),0.0% (0/4),0.0% (0/4)
temporal_violation,0.0% (0/8),12.5% (1/8),0.0% (0/8),0.0% (0/8)
upcoding,0.0% (0/2),50.0% (1/2),0.0% (0/2),50.0% (1/2)
